belief_lo,belief_hi,mean_belief,n,frac_truly_known,ci95,gap
0.0,0.1,,0,,0.0,
0.1,0.2,0.1429127613871097,15305,0.1466840901666122,0.005605131831904548,0.0037713287795025086
0.2,0.3,0.21405415884697415,3762,0.21212121212121213,0.013063767119264139,-0.0019329467257620248
0.3,0.4,0.3825111574954637,755,0.3443708609271523,0.03389416328717716,-0.038140296568311416
0.4,0.5,0.44883805263798365,7046,0.44266250354811243,0.011597923801523064,-0.006175549089871224
0.5,0.6,0.5492782079813477,1704,0.5223004694835681,0.02371695291995837,-0.026977738497779624
0.6,0.7,0.6661857999642564,193,0.616580310880829,0.06859768323143858,-0.049605489083427434
0.7,0.8,0.7720797619378418,4224,0.756155303030303,0.012949597662689648,-0.015924458907538797
0.8,0.9,0.8406463695561609,1107,0.8355916892502259,0.021834396893285063,-0.005054680305935033
0.9,1.0,0.9527062320299585,5904,0.9495257452574526,0.005584331958894395,-0.0031804867725059305
